ANNEE;NOM_MAT;TYPE;STATUT;FI_ET;FI_EJ;COM;NOMCOM;CPO;ADRESSE;LIT_OBS;SALTRAV;ACCTOT
2018;CH DU CHINONAIS;1;PUBLIC;370000531;370000606;37210;SAINT-BENOIT-LA-FORET;37500;28 RTE DEPARTEMENTALE 751;12;3;550
2020;CHRU BRETONNEAU - TOURS;3;PUBLIC;370000861;370000481;37261;TOURS;37044;2 BD TONNELLE;66;7;3442
2023;CHRU BRETONNEAU - TOURS;3;PUBLIC;370000861;370000481;37261;TOURS;37044;2 BD TONNELLE;66;7;3559
2015;PÔLE SANTÉ LÉONARD DE VINCI;2a;PRIVE LUCRATIF;370007569;370007528;37050;CHAMBRAY-LES-TOURS;37175;1 AV DU PROF ALEXANDRE MINKOWSKI;56;6;2554
2023;HOPITAL NORD - CHU38;3;PUBLIC;380000067;380780080;38516;LA TRONCHE;38700;BD DE LA CHANTOURNE;62;6;2468
2022;CH LUCIEN HUSSEL DE VIENNE;2a;PUBLIC;380000174;380781435;38544;VIENNE;38200;MTE DU DOCTEUR CHAPUIS;28;4;1474
2015;GROUPE HOSPIT. MUTUALISTE DE GRENOBLE;1;PRIVE NON LUCRATIF;380012658;380012609;38185;GRENOBLE;38028;8 R DOCTEUR CALMETTE;34;5;1782
2016;GROUPE HOSPIT. MUTUALISTE DE GRENOBLE;1;PRIVE NON LUCRATIF;380012658;380012609;38185;GRENOBLE;38028;8 R DOCTEUR CALMETTE;29;6;1838
2019;GROUPE HOSPIT. MUTUALISTE DE GRENOBLE;1;PRIVE NON LUCRATIF;380012658;380012609;38185;GRENOBLE;38028;8 R DOCTEUR CALMETTE;28;6;1667
2017;CLINIQUE BELLEDONNE;2a;PRIVE LUCRATIF;380786442;380798025;38421;SAINT-MARTIN-D'HERES;38400;83 AV GABRIEL PERI;40;5;1840
2016;CH LONS;2b;PUBLIC;390000040;390780146;39300;LONS-LE-SAUNIER;39016;55 R DR JEAN MICHEL;19;5;1068
2020;CH LOUIS PASTEUR DOLE;2a;PUBLIC;390000222;390780609;39198;DOLE;39108;AV LEON JOUHAUX;16;4;870
2014;CENTRE HOSPITALIER DAX;2a;PUBLIC;400000105;400780193;40088;DAX;40107;51 BD YVES DU MANOIR;21;3;1073
2014;CH BLOIS;2b;PUBLIC;410000020;410000087;41018;BLOIS;41016;MAIL PIERRE CHARLOT;37;4;1575
2016;CH BLOIS SIMONE VEIL;2b;PUBLIC;410000020;410000087;41018;BLOIS;41016;MAIL PIERRE CHARLOT;35;4;1521
2018;CH BLOIS SIMONE VEIL;2b;PUBLIC;410000020;410000087;41018;BLOIS;41016;MAIL PIERRE CHARLOT;25;4;1382
2023;CH BLOIS SIMONE VEIL;2b;PUBLIC;410000020;410000087;41018;BLOIS;41016;MAIL PIERRE CHARLOT;25;4;1416
2023;CH ROMORANTIN-LANTHENAY;1;PUBLIC;410000046;410000103;41194;ROMORANTIN LANTHENAY;41206;96 R DES CAPUCINS;13;2;414
2016;POLYCLINIQUE BLOIS;1;PRIVE LUCRATIF;410000202;410000319;41047;LA CHAUSSEE-SAINT-VICTOR;41260;1 R ROBERT DEBRE;20;5;635
2021;POLYCLINIQUE BLOIS;1;PRIVE LUCRATIF;410000202;410000319;41047;CHAUSSEE SAINT VICTOR;41260;1 R ROBERT DEBRE;20;5;709
2019;CENTRE HOSPITALIER DE ROANNE;2b;PUBLIC;420000010;420780033;42187;ROANNE;42328;28 R DE CHARLIEU;31;5;1660
2018;HOPITAL DU GIER - MCO;1;PUBLIC;420780637;420002495;42207;SAINT-CHAMOND;42403;19 R VICTOR HUGO;19;3;636
2020;CH DU GIER - MCO;1;PUBLIC;420780637;420002495;42207;SAINT CHAMOND;42403;19 R VICTOR HUGO;19;3;659
2022;CH DU GIER - MCO;1;PUBLIC;420780637;420002495;42207;SAINT CHAMOND;42403;19 R VICTOR HUGO;19;3;577
2013;HOPITAL NORD;3;PUBLIC;420785354;420784878;42275;SAINT-PRIEST-EN-JAREZ;42277;AV ALBERT RAIMOND;67;11;3086
2018;HOPITAL NORD - CHU42;3;PUBLIC;420785354;420784878;42275;SAINT-PRIEST-EN-JAREZ;42277;AV ALBERT RAIMOND;60;11;3065
2013;CENTRE HOSPITALIER DE ST NAZAIRE;2b;PUBLIC;440000016;440000057;44184;SAINT-NAZAIRE;44606;11 BD GEORGES CHARPAK;48;7;2866
2022;CH DE SAINT NAZAIRE;2b;PUBLIC;440000016;440000057;44184;SAINT NAZAIRE;44606;11 BD GEORGES CHARPAK;41;7;2417
2014;C.H.U. NANTES HÔTEL-DIEU ET HME;3;PUBLIC;440000271;440000289;44109;NANTES;44093;1 PL ALEXIS RICORDEAU;72;7;3835
2015;C.H.U. NANTES HÔTEL-DIEU ET HME;3;PUBLIC;440000271;440000289;44109;NANTES;44093;1 PL ALEXIS RICORDEAU;72;11;3750
2023;CH ERDRE ET LOIRE;1;PUBLIC;440000396;440053643;44003;ANCENIS SAINT GEREON;44156;160 R DU VERGER;15;2;505
2016;CLINIQUE J.VERNE- POLE HOSP MUTUALISTE;2a;PRIVE NON LUCRATIF;440029338;440053411;44109;NANTES;44314;2 RTE DE PARIS;50;9;3318
2018;CLINIQUE J.VERNE- POLE HOSP MUTUALISTE;2a;PRIVE NON LUCRATIF;440029338;440053411;44109;NANTES;44314;2 RTE DE PARIS;50;9;3290
2020;CLINIQUE JULES VERNE;2a;PRIVE NON LUCRATIF;440029338;440053411;44109;NANTES;44314;2 RTE DE PARIS;50;9;3242
2022;CLINIQUE MUTUALISTE JULES VERNE;2a;PRIVE NON LUCRATIF;440029338;440053411;44109;NANTES;44314;2 RTE DE PARIS;50;9;3230
2023;CLINIQUE MUTUALISTE JULES VERNE;2a;PRIVE NON LUCRATIF;440029338;440053411;44109;NANTES;44314;2 RTE DE PARIS;49;9;3132
2015;POLYCLINIQUE DE L'ATLANTIQUE;2a;PRIVE LUCRATIF;440033819;440006344;44162;SAINT-HERBLAIN;44819;AV CLAUDE BERNARD;93;12;4546
2016;POLYCLINIQUE DE L'ATLANTIQUE;2a;PRIVE LUCRATIF;440033819;440006344;44162;SAINT-HERBLAIN;44819;AV CLAUDE BERNARD;93;12;4328
2014;HÔPITAL MADELEINE;3;PUBLIC;450000021;450000088;45234;ORLEANS;45032;1 R PORTE-MADELEINE;88;8;4372
2014;CH AGGLOMERATION MONTARGOISE;2b;PUBLIC;450000062;450000104;45004;AMILLY;45200;658 R DES BOURGOINS;28;3;1356
2019;CHR ORLÉANS - HÔPITAL DE LA SOURCE;3;PUBLIC;450002613;450000088;45234;ORLEANS;45067;14 AV DE L'HOPITAL;87;8;4878
2023;CHR ORLÉANS - HÔPITAL DE LA SOURCE;3;PUBLIC;450002613;450000088;45234;ORLEANS;45067;14 AV DE L'HOPITAL;84;8;3393
2021;ORELIANCE - LONGUES ALLEES;2a;PRIVE LUCRATIF;450010079;450000195;45302;SARAN;45770;553 AV JACQUELINE AURIOL;18;4;609
2023;ORELIANCE - LONGUES ALLEES;2a;PRIVE LUCRATIF;450010079;450000195;45302;SARAN;45770;553 AV JACQUELINE AURIOL;21;4;789
2014;CH AGEN - HOPITAL SAINT-ESPRIT;2b;PUBLIC;470000423;470000316;47001;AGEN;47923;RTE DE VILLENEUVE;20;2;965
2019;CENTRE HOSPITALIER DE VILLENEUVE;1;PUBLIC;470000431;470000324;47323;VILLENEUVE-SUR-LOT;47305;;25;4;756
2023;CH VILLENEUVE -POLE SANTE VILLENEUVOIS;1;PUBLIC;470000431;470000324;47323;VILLENEUVE SUR LOT;47305;;25;4;594
2015;CENTRE HOSPITALIER DE MARMANDE - CHIC;1;PUBLIC;470000480;470001660;47157;MARMANDE;47207;76 R DOCTEUR COURRET;16;4;752
2018;HOPITAL LOZERE SITE VALLEE DU LOT;2a;PUBLIC;480000017;480780097;48095;MENDE;48000;AV DU HUIT MAI 1945;11;2;423
2014;CENTRE HOSPITALIER DE CHOLET;2b;PUBLIC;490000635;490000676;49099;CHOLET;49325;1 R MARENGO;40;8;1963
2017;CENTRE HOSPITALIER DE CHOLET;2b;PUBLIC;490000635;490000676;49099;CHOLET;49325;1 R MARENGO;30;5;1946
2023;CH DE CHOLET;2b;PUBLIC;490000635;490000676;49099;CHOLET;49325;1 R MARENGO;30;5;1902
2014;CLINIQUE DE L'ANJOU;2a;PRIVE LUCRATIF;490014909;490008109;49007;ANGERS;49044;9 R DE L HIRONDELLE;50;5;2042
2015;CENTRE HOSPITALIER PUBLIC DU COTENTIN;3;PUBLIC;500000187;500000013;50129;CHERBOURG-OCTEVILLE;50102;46 R DU VAL DE SAIRE;37;5;1881
2016;CHPC - SITE CHERBOURG;3;PUBLIC;500000187;500000013;50129;CHERBOURG-OCTEVILLE;50102;46 R DU VAL DE SAIRE;35;5;1811
2014;CLINIQUE HENRI GUILLARD - COUTANCES;1;PRIVE LUCRATIF;500000401;500000609;50147;COUTANCES;50200;3 B R DE LA CROUTE;21;3;656
2016;CH MEMORIAL - SAINT-LO;2a;PUBLIC;500000450;500000112;50502;SAINT-LO;50009;715 R DUNANT;22;4;1479
2017;CH MEMORIAL - SAINT-LO;2a;PUBLIC;500000450;500000112;50502;SAINT-LO;50009;715 R DUNANT;22;4;1590
2018;CH MEMORIAL - SAINT-LO;2a;PUBLIC;500000450;500000112;50502;SAINT-LO;50009;715 R DUNANT;22;4;1568
2019;CH MEMORIAL - SAINT-LO;2a;PUBLIC;500000450;500000112;50502;SAINT-LO;50009;715 R DUNANT;22;4;1483
2015;CENTRE HOSPITALIER DE CHALONS;2a;PUBLIC;510000169;510000037;51108;CHALONS-EN-CHAMPAGNE;51005;51 R DU COMMANDANT DERRIEN;12;3;965
2013;POLYCLINIQUE SAINT ANDRE;2a;PRIVE LUCRATIF;510000193;510000557;51454;REIMS;51052;18 R DE L ECU;37;6;1882
2018;POLYCLINIQUE DE BEZANNES;2a;PRIVE LUCRATIF;510024979;510000532;51058;BEZANNES;51430;R LOUIS VICTOR DE BROGLIE;56;9;2044
2023;POLYCLINIQUE REIMS - BEZANNES;2b;PRIVE LUCRATIF;510024979;510000532;51058;BEZANNES;51430;109 R LOUIS VICTOR DE BROGLIE;55;9;2353
2013;CENTRE HOSPITALIER DE CHAUMONT;2a;PUBLIC;520000027;520780032;52121;CHAUMONT;52014;2 R JEANNE D'ARC;20;4;623
2013;CH GENEVIEVE DE GAULLE ANTHONIOZ;2b;PUBLIC;520000068;520780073;52448;SAINT-DIZIER;52115;1 R ALBERT SHWEITZER;21;3;942
2019;CH GENEVIEVE DE GAULLE ANTHONIOZ;2b;PUBLIC;520000068;520780073;52448;SAINT-DIZIER;52115;1 R ALBERT SCHWEITZER;24;3;1002
2015;CENTRE HOSPITALIER DU HAUT ANJOU;1;PUBLIC;530000017;530000025;53062;CHATEAU-GONTIER;53204;1 QU G. LEFEVRE;25;3;870
2021;CH HAUT ANJOU SITE CHATEAU GONTIER;1;PUBLIC;530000017;530000025;53062;CHATEAU GONTIER SUR MAYENNE;53204;1 QU G LEFEVRE;22;4;741
2013;CENTRE HOSPITALIER NORD MAYENNE;1;PUBLIC;530000173;530000074;53147;MAYENNE;53103;229 BD PAUL LINTIER;18;2;756
2015;CENTRE HOSPITALIER DE LAVAL;2a;PUBLIC;530000264;530000371;53130;LAVAL;53015;33 R DU HAUT ROCHER;20;5;1463
2017;CENTRE HOSPITALIER DE LAVAL;2a;PUBLIC;530000264;530000371;53130;LAVAL;53015;33 R DU HAUT ROCHER;20;5;1191
2019;CENTRE HOSPITALIER DE LAVAL;2b;PUBLIC;530000264;530000371;53130;LAVAL;53015;33 R DU HAUT ROCHER;20;5;1176
2014;CHU NANCY - MATERNITE;3;PUBLIC;540000015;540023264;54395;NANCY;54042;10 R DU DR HEYDENREICH;89;7;3083
2023;CENTRE HOSPITALIER SAINT CHARLES TOUL;1;PUBLIC;540000023;540000049;54528;TOUL;54201;1 CRS RAYMOND POINCARE;15;2;489
2017;CENTRE HOSPITALIER DE LUNEVILLE;1;PUBLIC;540000155;540000080;54329;LUNEVILLE;54301;6 R GIRARDET;13;2;541
2023;CH DE BRIEY - HOPITAL MAILLOT;1;PUBLIC;540001070;540000767;54099;VAL DE BRIEY;54151;31 AV ALBERT DE BRIEY;16;0;512
2020;CH DE MT ST MARTIN (GROUPE SOS SANTE);1;PRIVE NON LUCRATIF;540001096;570010181;54382;MONT SAINT MARTIN;54350;4 R ALFRED LABBE.;21;2;496
2023;POLYCLINIQUE MAJORELLE;2b;PRIVE LUCRATIF;540013224;540000536;54395;NANCY;54000;95 R AMBROISE PARÉ;39;8;1654
2016;CHCB- SITE KÉRIO;2a;PUBLIC;560000143;560014748;56151;NOYAL-PONTIVY;56920;KÉRIO;25;5;905
2014;CENTRE HOSPITALIER DE PLOERMEL;1;PUBLIC;560000192;560000044;56165;PLOERMEL;56800;7 R DU ROI ARTHUR;26;3;803
2017;CENTRE HOSPITALIER DE PLOERMEL;1;PUBLIC;560000192;560000044;56165;PLOERMEL;56800;7 R DU ROI ARTHUR;16;3;667
2019;HÔPITAL PRIVÉ OCÉANE;2a;PRIVE LUCRATIF;560008799;560013989;56260;VANNES;56000;11 R DU DR JOSEPH AUDIC;27;4;1035
2019;CH SAINT-NICOLAS DE SARREBOURG;1;PUBLIC;570000117;570015099;57630;SARREBOURG;57402;25 AV DU GENERAL DE GAULLE;12;2;334
2017;HOPITAL DE MERCY - CHR METZ THIONVILLE;2b;PUBLIC;570026682;570005165;57031;ARS-LAQUENEXY;57530;1 ALL DU CHATEAU;60;6;3279
2014;C.H DE L'AGGLOMÉRATION DE NEVERS;2b;PUBLIC;580972693;580780039;58194;NEVERS;58033;1 BD DE L'HOPITAL;34;4;1217
2018;CH SECLIN;2a;PUBLIC;590000121;590780227;59560;SECLIN;59113;R D'APOLDA;41;4;1922
2022;CH SECLIN;2a;PUBLIC;590000121;590780227;59560;SECLIN;59113;R D'APOLDA;37;4;1835
2022;CH LE CATEAU;1;PUBLIC;590000436;590781621;59136;CATEAU CAMBRESIS;59360;28 BD PATURLE;15;2;402
2013;CH FOURMIES;1;PUBLIC;590000469;590781662;59249;FOURMIES;59611;R DE L HOPITAL;28;3;1108
2021;CH FOURMIES;1;PUBLIC;590000469;590781662;59249;FOURMIES;59611;R DE L HOPITAL;14;4;484
2017;CH SAMBRE AVESNOIS MAUBEUGE;2b;PUBLIC;590000535;590781803;59392;MAUBEUGE;59607;13 BD PASTEUR;18;3;887
2016;CH DENAIN;1;PUBLIC;590000592;590782165;59172;DENAIN;59723;25B R J JAURES;26;3;1171
2020;CH VALENCIENNES;3;PUBLIC;590000618;590782215;59606;VALENCIENNES;59322;114 AV DESANDROUINS;46;7;3317
2021;CH VALENCIENNES;3;PUBLIC;590000618;590782215;59606;VALENCIENNES;59322;114 AV DESANDROUINS;54;7;3219
2022;CH VALENCIENNES;3;PUBLIC;590000618;590782215;59606;VALENCIENNES;59322;114 AV DESANDROUINS;45;7;3255
2013;CH HAZEBROUCK;1;PUBLIC;590000774;590782652;59295;HAZEBROUCK;59524;1 R DE L'HOPITAL;17;3;924
2016;CH HAZEBROUCK;1;PUBLIC;590000774;590782652;59295;HAZEBROUCK;59524;1 R DE L'HOPITAL;17;3;837
2018;CH HAZEBROUCK;1;PUBLIC;590000774;590782652;59295;HAZEBROUCK;59524;1 R DE L'HOPITAL;17;3;799
2022;CH HAZEBROUCK;1;PUBLIC;590000774;590782652;59295;HAZEBROUCK;59524;1 R DE L'HOPITAL;17;3;811
2016;CH DOUAI DECHY;2a;PUBLIC;590001004;590783239;59170;DECHY;59187;RTE DE CAMBRAI;32;4;1645
2013;GCS GHICL CLINIQUE STE MARIE;2a;PRIVE LUCRATIF;590052056;590051801;59122;CAMBRAI;59400;22 R WATTEAU;25;3;956
2017;GCS GHICL CLINIQUE STE MARIE;2a;PRIVE LUCRATIF;590052056;590051801;59122;CAMBRAI;59400;22 R WATTEAU;25;3;728
2013;POLYCLINIQUE DU BOIS;2a;PRIVE LUCRATIF;590780268;590053955;59350;LILLE;59003;44 R MAX DORMOY;54;4;2252
2022;HOPITAL PRIVÉ LE BOIS;2a;PRIVE LUCRATIF;590780268;590053955;59350;LILLE;59000;44 AV MARX DORMOY;59;4;1413
2015;CLINIQUE MATERNITE DU PARC;1;PRIVE LUCRATIF;590782298;590000675;59544;SAINT-SAULVE;59880;48 R HENRI BARBUSSE;26;4;891
2016;POLYCLINIQUE DU PARC;1;PRIVE LUCRATIF;590782298;590000675;59544;SAINT-SAULVE;59880;62 R HENRI BARBUSSE;26;4;780
2020;POLYCLINIQUE DU PARC;1;PRIVE LUCRATIF;590782298;590000675;59544;SAINT SAULVE;59880;62 R HENRI BARBUSSE;26;4;967
2021;POLYCLINIQUE DU PARC;1;PRIVE LUCRATIF;590782298;590000675;59544;SAINT SAULVE;59880;62 R HENRI BARBUSSE;25;4;1001
2017;HOPITAL PRIVE DE VILLENEUVE D'ASCQ;1;PRIVE LUCRATIF;590782553;590000741;59009;VILLENEUVE-D'ASCQ;59650;20 AV DE LA RECONNAISSANCE;43;7;2040
2019;HOPITAL PRIVE DE VILLENEUVE D'ASCQ;1;PRIVE LUCRATIF;590782553;590000741;59009;VILLENEUVE-D'ASCQ;59650;20 AV DE LA RECONNAISSANCE;43;7;1974
2023;HOPITAL PRIVE DE VILLENEUVE D'ASCQ;1;PRIVE LUCRATIF;590782553;590000741;59009;VILLENEUVE D ASCQ;59650;20 AV DE LA RECONNAISSANCE;36;6;1368
2017;HOPITAL SAINT VINCENT - SAINT ANTOINE;2b;PRIVE LUCRATIF;590797353;590051801;59350;LILLE;59020;51 BD DE BELFORT;35;4;1891
2017;HOPITAL VICTOR PROVO;2b;PUBLIC;590801106;590782421;59512;ROUBAIX;59056;11 BD LACORDAIRE;49;7;11
2019;HOPITAL VICTOR PROVO;2b;PUBLIC;590801106;590782421;59512;ROUBAIX;59056;11 BD LACORDAIRE;49;7;3300
2015;HOPITAL GUY CHATILIEZ CH TOURCOING;2a;PUBLIC;590804696;590781902;59599;TOURCOING;59208;155 R DU PRESIDENT COTY;37;5;1813
2022;NOUVELLE CLINIQUE VILLETTE SA;1;PRIVE LUCRATIF;590813382;590000386;59183;DUNKERQUE;59941;18 R PARMENTIER;24;4;531
2018;POLYCLINIQUE DU VAL DE SAMBRE;1;PRIVE LUCRATIF;590813507;590000485;59392;MAUBEUGE;59600;162 RTE DE MONS;21;4;819
2016;CH GHPSO SENLIS;2a;PUBLIC;600000053;600101984;60612;SENLIS;60309;14 AV PAUL ROUGÉ;36;5;1870
2021;CH GHPSO SENLIS;3;PUBLIC;600000053;600101984;60612;SENLIS;60309;14 AV PAUL ROUGÉ;42;8;2618
2022;CH GHPSO SENLIS;3;PUBLIC;600000053;600101984;60612;SENLIS;60309;14 AV PAUL ROUGÉ;42;8;2636
2014;CH CLERMONT;1;PUBLIC;600000186;600100648;60157;CLERMONT;60600;R FRÉDÉRIC RABOISSON;9;2;431
2014;CENTRE HOSPITALIER D'ARGENTAN;1;PUBLIC;610000069;610780090;61006;ARGENTAN;61203;47 R ARISTIDE BRIAND;15;3;585
2019;CENTRE HOSPITALIER D'ARGENTAN;1;PUBLIC;610000069;610780090;61006;ARGENTAN;61203;47 R ARISTIDE BRIAND;15;3;668
2022;CENTRE HOSPITALIER D'ARGENTAN;1;PUBLIC;610000069;610780090;61006;ARGENTAN;61203;47 R ARISTIDE BRIAND;15;3;637
2023;CH  JACQUES MONOD  - FLERS;2a;PUBLIC;610000119;610780165;61169;FLERS;61104;R EUGÈNE GARNIER;15;3;696
2023;CH REGION DE ST OMER;2a;PUBLIC;620000349;620101360;62765;SAINT OMER;62505;RTE DE BLENDECQUES;25;4;1056
2020;CH ARRONDISSEMENT DE MONTREUIL;2a;PUBLIC;620003202;620103432;62688;RANG DU FLIERS;62180;140 CHE DEPARTEMENTAL 191;23;3;887
2013;CLINIQUE BON SECOURS;1;PRIVE LUCRATIF;620100099;620014779;62041;ARRAS;62012;2 R DU DOCTEUR FORGEOIS;21;4;975
